id,date,store_nbr,item_nbr,unit_sales,onpromotion,category,holiday,item_class,perishable,item_name,cost_price,price
122137736,2017-07-15,1,402175,1.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
122137775,2017-07-15,1,459804,2.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
122137918,2017-07-15,1,655749,3.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
122137985,2017-07-15,1,759694,4.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
122138556,2017-07-15,1,1313223,9.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
122138605,2017-07-15,1,1349808,1.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
122138610,2017-07-15,1,1354383,1.0,False,Pantry Staples,0,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
122138614,2017-07-15,1,1354390,2.0,False,Pantry Staples,0,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
122138679,2017-07-15,1,1441514,2.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
122138840,2017-07-15,1,1471460,2.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
122138843,2017-07-15,1,1472479,3.0,False,PET SUPPLIES,0,6517,0,Meow Mix Original Choice Dry Cat Food 3.15 lb,6.3,8.35
122138979,2017-07-15,1,1686685,5.0,False,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
122139258,2017-07-15,1,2010456,2.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
122248758,2017-07-16,1,402175,1.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
122248886,2017-07-16,1,655749,1.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
122248927,2017-07-16,1,759694,3.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
122249340,2017-07-16,1,1313223,3.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
122249366,2017-07-16,1,1349808,1.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
122249373,2017-07-16,1,1354390,1.0,False,Pantry Staples,0,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
122249408,2017-07-16,1,1441514,2.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
122249525,2017-07-16,1,1471460,2.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
122360528,2017-07-17,1,108952,1.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
122360793,2017-07-17,1,402175,1.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
122360838,2017-07-17,1,459804,1.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
122361001,2017-07-17,1,655749,2.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
122361071,2017-07-17,1,759694,4.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
122361464,2017-07-17,1,1132005,2.0,False,BEVERAGES,0,1132,0,Pure Leaf Iced Tea Lemon 12 x 16.9 fl oz,7.7,10.34
122361659,2017-07-17,1,1313223,8.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
122361708,2017-07-17,1,1349808,5.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
122361715,2017-07-17,1,1354383,1.0,False,Pantry Staples,0,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
122361718,2017-07-17,1,1354390,2.0,False,Pantry Staples,0,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
122361784,2017-07-17,1,1441514,4.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
122361959,2017-07-17,1,1471460,4.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
122362098,2017-07-17,1,1686685,14.0,False,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
122362392,2017-07-17,1,2010456,1.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
122465039,2017-07-18,1,108952,1.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
122465295,2017-07-18,1,402175,2.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
122465344,2017-07-18,1,459804,3.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
122465498,2017-07-18,1,655749,4.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
122465566,2017-07-18,1,759694,5.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
122466142,2017-07-18,1,1313223,6.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
122466183,2017-07-18,1,1349808,2.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
122466264,2017-07-18,1,1441514,1.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
122466437,2017-07-18,1,1471460,4.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
122466575,2017-07-18,1,1686685,3.0,False,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
122466854,2017-07-18,1,2010456,1.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
122466970,2017-07-18,1,2048246,3.0,False,Pantry Staples,0,1016,0,Quaker Old Fashioned Oats 42 oz Canister,4.0,5.25
122566449,2017-07-19,1,108952,4.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
122566712,2017-07-19,1,402175,4.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
122566764,2017-07-19,1,459804,1.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
122566925,2017-07-19,1,655749,6.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
122566989,2017-07-19,1,759694,5.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
122567573,2017-07-19,1,1313223,7.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
122567626,2017-07-19,1,1349808,2.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
122567632,2017-07-19,1,1354383,2.0,False,Pantry Staples,0,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
122567638,2017-07-19,1,1354390,1.0,False,Pantry Staples,0,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
122567704,2017-07-19,1,1441514,1.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
122567883,2017-07-19,1,1471460,3.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
122568028,2017-07-19,1,1686685,3.0,True,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
122568318,2017-07-19,1,2010456,2.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
122568437,2017-07-19,1,2048246,1.0,False,Pantry Staples,0,1016,0,Quaker Old Fashioned Oats 42 oz Canister,4.0,5.25
122667541,2017-07-20,1,108952,5.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
122667809,2017-07-20,1,402175,4.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
122667854,2017-07-20,1,459804,2.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
122668021,2017-07-20,1,655749,1.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
122668088,2017-07-20,1,759694,4.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
122668684,2017-07-20,1,1313223,6.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
122668734,2017-07-20,1,1349808,1.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
122668803,2017-07-20,1,1441514,2.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
122668981,2017-07-20,1,1471460,4.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
122669121,2017-07-20,1,1686685,5.0,False,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
122669403,2017-07-20,1,2010456,1.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
122767624,2017-07-21,1,108952,4.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
122767899,2017-07-21,1,402175,1.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
122768105,2017-07-21,1,655749,3.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
122768172,2017-07-21,1,759694,7.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
122768770,2017-07-21,1,1313223,8.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
122768821,2017-07-21,1,1349808,1.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
122768827,2017-07-21,1,1354383,2.0,False,Pantry Staples,0,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
122768903,2017-07-21,1,1441514,6.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
122769078,2017-07-21,1,1471460,5.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
122769082,2017-07-21,1,1472479,1.0,False,PET SUPPLIES,0,6517,0,Meow Mix Original Choice Dry Cat Food 3.15 lb,6.3,8.35
122769224,2017-07-21,1,1686685,5.0,False,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
122769518,2017-07-21,1,2010456,4.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
122769637,2017-07-21,1,2048246,3.0,False,Pantry Staples,0,1016,0,Quaker Old Fashioned Oats 42 oz Canister,4.0,5.25
122869733,2017-07-22,1,108952,6.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
122870046,2017-07-22,1,459804,1.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
122870208,2017-07-22,1,655749,1.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
122870274,2017-07-22,1,759694,5.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
122870863,2017-07-22,1,1313223,3.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
122870911,2017-07-22,1,1349808,1.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
122870917,2017-07-22,1,1354383,1.0,False,Pantry Staples,0,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
122871155,2017-07-22,1,1471460,2.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
122871160,2017-07-22,1,1472479,1.0,False,PET SUPPLIES,0,6517,0,Meow Mix Original Choice Dry Cat Food 3.15 lb,6.3,8.35
122871301,2017-07-22,1,1686685,4.0,False,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
122871699,2017-07-22,1,2048246,1.0,False,Pantry Staples,0,1016,0,Quaker Old Fashioned Oats 42 oz Canister,4.0,5.25
122979900,2017-07-23,1,759694,3.0,False,Pantry Staples,1,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
122980346,2017-07-23,1,1354383,1.0,False,Pantry Staples,1,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
122980350,2017-07-23,1,1354390,1.0,False,Pantry Staples,1,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
122980503,2017-07-23,1,1471460,1.0,False,DAIRY,1,2128,1,Borden Whole Milk Gallon,5.1,6.78
122980615,2017-07-23,1,1686685,2.0,False,PRODUCE,1,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
123090102,2017-07-24,1,459804,2.0,False,Pantry Staples,1,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
123090263,2017-07-24,1,655749,4.0,False,Pantry Staples,1,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
123090336,2017-07-24,1,759694,6.0,False,Pantry Staples,1,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
123090922,2017-07-24,1,1313223,5.0,False,BREAD/BAKERY,1,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
123090979,2017-07-24,1,1354390,2.0,False,Pantry Staples,1,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
123091037,2017-07-24,1,1441514,1.0,False,Pantry Staples,1,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
123091210,2017-07-24,1,1471460,3.0,False,DAIRY,1,2128,1,Borden Whole Milk Gallon,5.1,6.78
123091216,2017-07-24,1,1472479,1.0,False,PET SUPPLIES,1,6517,0,Meow Mix Original Choice Dry Cat Food 3.15 lb,6.3,8.35
123091349,2017-07-24,1,1686685,7.0,False,PRODUCE,1,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
123091646,2017-07-24,1,2010456,5.0,False,Pantry Staples,1,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
123091765,2017-07-24,1,2048246,1.0,False,Pantry Staples,1,1016,0,Quaker Old Fashioned Oats 42 oz Canister,4.0,5.25
123194986,2017-07-25,1,108952,2.0,False,CLEANING,1,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
123195234,2017-07-25,1,402175,1.0,False,Pantry Staples,1,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
123195278,2017-07-25,1,459804,1.0,False,Pantry Staples,1,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
123195433,2017-07-25,1,655749,4.0,False,Pantry Staples,1,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
123195493,2017-07-25,1,759694,5.0,False,Pantry Staples,1,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
123196088,2017-07-25,1,1313223,11.0,False,BREAD/BAKERY,1,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
123196139,2017-07-25,1,1354383,5.0,False,Pantry Staples,1,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
123196143,2017-07-25,1,1354390,3.0,False,Pantry Staples,1,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
123196380,2017-07-25,1,1471460,2.0,False,DAIRY,1,2128,1,Borden Whole Milk Gallon,5.1,6.78
123196520,2017-07-25,1,1686685,4.0,False,PRODUCE,1,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
123196803,2017-07-25,1,2010456,3.0,False,Pantry Staples,1,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
123196916,2017-07-25,1,2048246,1.0,False,Pantry Staples,1,1016,0,Quaker Old Fashioned Oats 42 oz Canister,4.0,5.25
123296187,2017-07-26,1,108952,3.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
123296488,2017-07-26,1,459804,1.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
123296648,2017-07-26,1,655749,3.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
123296717,2017-07-26,1,759694,8.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
123297116,2017-07-26,1,1132005,4.0,False,BEVERAGES,0,1132,0,Pure Leaf Iced Tea Lemon 12 x 16.9 fl oz,7.7,10.34
123297315,2017-07-26,1,1313223,8.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
123297362,2017-07-26,1,1349808,4.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
123297368,2017-07-26,1,1354383,1.0,False,Pantry Staples,0,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
123297374,2017-07-26,1,1354390,3.0,False,Pantry Staples,0,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
123297439,2017-07-26,1,1441514,1.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
123297607,2017-07-26,1,1471460,9.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
123297750,2017-07-26,1,1686685,5.0,True,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
123298030,2017-07-26,1,2010456,2.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
123396386,2017-07-27,1,108952,1.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
123396641,2017-07-27,1,402175,1.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
123396682,2017-07-27,1,459804,1.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
123396829,2017-07-27,1,655749,4.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
123396891,2017-07-27,1,759694,5.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
123397455,2017-07-27,1,1313223,6.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
123397494,2017-07-27,1,1349808,3.0,False,Pantry Staples,0,1030,0,Prego Traditional Italian Sauce 24 oz Jar,3.9,5.28
123397507,2017-07-27,1,1354390,2.0,False,Pantry Staples,0,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
123397567,2017-07-27,1,1441514,1.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
123397740,2017-07-27,1,1471460,4.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
123397869,2017-07-27,1,1686685,5.0,False,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
123398136,2017-07-27,1,2010456,2.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
123493822,2017-07-28,1,108952,3.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
123494090,2017-07-28,1,402175,1.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
123494127,2017-07-28,1,459804,1.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
123494284,2017-07-28,1,655749,1.0,False,Pantry Staples,0,1096,0,Barilla Spaghetti Pasta 2 lb,5.9,7.85
123494352,2017-07-28,1,759694,2.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
123494759,2017-07-28,1,1132005,7.0,False,BEVERAGES,0,1132,0,Pure Leaf Iced Tea Lemon 12 x 16.9 fl oz,7.7,10.34
123494960,2017-07-28,1,1313223,5.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
123495007,2017-07-28,1,1354383,1.0,False,Pantry Staples,0,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
123495012,2017-07-28,1,1354390,3.0,False,Pantry Staples,0,1042,0,Domino Granulated Sugar 4 lb,3.2,4.41
123495078,2017-07-28,1,1441514,1.0,False,Pantry Staples,0,1008,0,Carolina Long Grain White Rice 5 lb,5.1,6.99
123495251,2017-07-28,1,1471460,7.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
123495392,2017-07-28,1,1686685,10.0,False,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
123495674,2017-07-28,1,2010456,2.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
123495794,2017-07-28,1,2048246,4.0,False,Pantry Staples,0,1016,0,Quaker Old Fashioned Oats 42 oz Canister,4.0,5.25
123596892,2017-07-29,1,108952,2.0,False,CLEANING,0,3024,0,Lysol All Purpose Cleaner Lemon Breeze 32 fl oz,6.8,8.86
123597197,2017-07-29,1,459804,1.0,False,Pantry Staples,0,1086,0,Morton Iodized Salt 26 oz,2.2,3.11
123597418,2017-07-29,1,759694,4.0,False,Pantry Staples,0,1070,0,Del Monte Whole Kernel Corn 15.25 oz 6 Pack,6.2,8.29
123597811,2017-07-29,1,1132005,1.0,False,BEVERAGES,0,1132,0,Pure Leaf Iced Tea Lemon 12 x 16.9 fl oz,7.7,10.34
123598002,2017-07-29,1,1313223,2.0,False,BREAD/BAKERY,0,2714,1,Pepperidge Farm Soft Dinner Rolls 12 Count,1.9,2.76
123598052,2017-07-29,1,1354383,1.0,False,Pantry Staples,0,1042,0,Bertolli Extra Virgin Olive Oil 16.9 fl oz,5.2,6.95
123598272,2017-07-29,1,1471460,6.0,False,DAIRY,0,2128,1,Borden Whole Milk Gallon,5.1,6.78
123598277,2017-07-29,1,1472479,1.0,False,PET SUPPLIES,0,6517,0,Meow Mix Original Choice Dry Cat Food 3.15 lb,6.3,8.35
123598407,2017-07-29,1,1686685,8.0,False,PRODUCE,0,2034,1,"Dole Bananas, 2 lb Bunch",2.8,3.96
123598698,2017-07-29,1,2010456,1.0,False,Pantry Staples,0,1052,0,Uncle Ben’s Jasmine Rice 5 lb,6.6,8.86
123708386,2017-07-30,1,402175,1.0,False,Pantry Staples,0,1096,0,Mahatma Extra Long Grain Enriched Rice 5 lb,6.6,8.84
